ai-177-k;ai course at 177;The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J;44271;0.39;"2023-06-10 14:20:58";1;1;1
comp_vis-192-i;comp_vis course at 192;The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design;8194;0.45;"2022-01-01 14:20:24";2;2;2
math-119-v;math course at 119;Carbonite web goalkeeper gloves are ergonomically designed to give easy fit;8039;0.47;"2022-06-20 19:06:57";3;3;3
front-132-m;front course at 132;New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart;47153;0.38;"2023-09-11 10:35:14";4;4;4
comp_vis-114-s;comp_vis course at 114;The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design;43296;0.46;"2023-07-08 11:42:21";5;5;5
analyse-70-x;analyse course at 70;Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles;16530;0.46;"2023-07-22 06:25:14";6;6;6
cpp-163-n;cpp course at 163;The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients;17297;0.43;"2021-01-08 17:02:19";7;7;7
back-136-c;back course at 136;Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support;5137;0.42;"2023-10-25 10:18:22";8;8;8
comp_vis-108-r;comp_vis course at 108;The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J;4812;0.46;"2022-06-07 10:55:02";9;9;9
n-33-z;n course at 33;New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart;14440;0.48;"2022-04-16 14:12:51";10;10;10
math-84-e;math course at 84;The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients;33775;0.37;"2022-05-04 09:37:16";11;11;11
qwerty-114-y;qwerty course at 114;Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support;26225;0.37;"2021-07-01 08:41:47";12;12;12
qwerty-121-i;qwerty course at 121;Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals;40655;0.44;"2023-12-24 01:23:03";13;13;13
comp-5-l;comp course at 5;The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive;20268;0.36;"2023-12-24 06:05:52";14;14;14
math-19-g;math course at 19;New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart;44856;0.5;"2022-02-04 05:06:33";15;15;15
python-151-u;python course at 151;Carbonite web goalkeeper gloves are ergonomically designed to give easy fit;35582;0.33;"2021-07-15 13:41:02";16;16;16
comp-165-u;comp course at 165;Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support;4033;0.47;"2021-12-02 04:40:05";17;17;17
csharp-107-n;csharp course at 107;Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support;41717;0.41;"2021-02-12 04:35:58";18;18;18
ai-172-b;ai course at 172;Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support;25333;0.37;"2021-04-27 23:50:24";19;19;19
analyse-128-u;analyse course at 128;New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart;12209;0.31;"2021-04-06 06:29:52";20;20;20
front-122-q;front course at 122;The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive;37890;0.37;"2022-12-06 15:59:16";21;21;21
back-27-f;back course at 27;Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals;29308;0.45;"2021-07-08 18:16:08";22;22;22
back-56-w;back course at 56;The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality;34752;0.4;"2021-08-24 01:40:03";23;23;23
math-154-n;math course at 154;New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart;23795;0.47;"2022-04-13 00:47:53";24;24;24
back-170-n;back course at 170;The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design;502;0.5;"2022-05-06 21:45:29";25;25;25
python-175-o;python course at 175;Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles;21634;0.34;"2021-09-14 15:25:46";26;26;26
csv-75-z;csv course at 75;The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients;21294;0.32;"2023-02-01 00:04:06";27;27;27
xyz-186-y;xyz course at 186;New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart;24381;0.42;"2021-02-25 22:23:14";28;28;28
front-97-h;front course at 97;The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive;35136;0.31;"2021-08-22 22:43:18";29;29;29
ai-13-v;ai course at 13;The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality;24813;0.37;"2023-12-25 18:32:42";30;30;30
vision-154-l;vision course at 154;New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016;5013;0.3;"2023-10-04 07:07:23";31;31;31
back-182-c;back course at 182;The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality;38055;0.38;"2023-04-26 17:35:01";32;32;32
python-6-h;python course at 6;The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive;43087;0.39;"2021-07-18 15:44:17";33;33;33
xyz-77-t;xyz course at 77;The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients;20604;0.39;"2021-06-16 03:37:37";34;34;34
xyz-150-k;xyz course at 150;Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals;37498;0.47;"2023-10-15 09:53:22";35;35;35
csharp-165-e;csharp course at 165;The Football Is Good For Training And Recreational Purposes;14497;0.34;"2022-08-16 07:27:09";36;36;36
back-18-q;back course at 18;New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart;13222;0.33;"2022-11-14 02:30:14";37;37;37
python-40-l;python course at 40;New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart;14935;0.32;"2023-11-17 04:08:54";38;38;38
math-35-y;math course at 35;The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive;46320;0.5;"2023-09-16 15:30:38";39;39;39
